osm_type,osm_id,osm_url,latitude,longitude,manufacturer,brand,model,operator,camera_class,name,in_chicago_city,address,address_source,zip_code,zip_source,police_district,district_source,direction,surveillance_type,last_osm_edit_utc,osm_version,osm_changeset_id,osm_changeset_url,osm_last_editor,osm_last_editor_uid,first_osm_mapped_utc,first_alpr_tagged_utc,first_flock_tagged_utc,history_status,installation_date,installation_date_source,installation_date_url,operational_date,operational_date_source,operational_date_url,date_notes,osm_start_date_tag,osm_construction_date_tag,osm_opening_date_tag,osm_tags_json,osm_full_element_json
node,261326106,https://www.openstreetmap.org/node/261326106,41.9004337,-87.6419063,,,,,manufacturer_unknown,,yes,,not available in OSM,60610,Chicago ZIP polygon,18,Chicago current district polygon,175,ALPR,2025-09-03T16:59:09Z,6,171417346,https://www.openstreetmap.org/changeset/171417346,clairebaire,20453286,,,,skipped,,,,,,,,,,,"{""camera:type"": ""fixed"", ""direction"": ""175"", ""man_made"": ""surveillance"", ""surveillance:type"": ""ALPR""}","{""changeset"": 171417346, ""id"": 261326106, ""lat"": 41.9004337, ""lon"": -87.6419063, ""tags"": {""camera:type"": ""fixed"", ""direction"": ""175"", ""man_made"": ""surveillance"", ""surveillance:type"": ""ALPR""}, ""timestamp"": ""2025-09-03T16:59:09Z"", ""type"": ""node"", ""uid"": 20453286, ""user"": ""clairebaire"", ""version"": 6}"
node,2986637275,https://www.openstreetmap.org/node/2986637275,41.7508605,-87.6253803,Motorola Solutions,,,,other_or_unverified_manufacturer,,yes,,not available in OSM,60620,Chicago ZIP polygon,6,Chicago current district polygon,180;160;170;150;190,ALPR,2025-12-22T17:16:54Z,5,176274162,https://www.openstreetmap.org/changeset/176274162,nickvet419,18480,,,,skipped,,,,,,,,,,,"{""camera:type"": ""fixed"", ""direction"": ""180;160;170;150;190"", ""man_made"": ""surveillance"", ""manufacturer"": ""Motorola Solutions"", ""manufacturer:wikidata"": ""Q634815"", ""surveillance:type"": ""ALPR""}","{""changeset"": 176274162, ""id"": 2986637275, ""lat"": 41.7508605, ""lon"": -87.6253803, ""tags"": {""camera:type"": ""fixed"", ""direction"": ""180;160;170;150;190"", ""man_made"": ""surveillance"", ""manufacturer"": ""Motorola Solutions"", ""manufacturer:wikidata"": ""Q634815"", ""surveillance:type"": ""ALPR""}, ""timestamp"": ""2025-12-22T17:16:54Z"", ""type"": ""node"", ""uid"": 18480, ""user"": ""nickvet419"", ""version"": 5}"
node,7025421509,https://www.openstreetmap.org/node/7025421509,41.8909987,-87.6267914,,,,,manufacturer_unknown,,yes,,not available in OSM,60611,Chicago ZIP polygon,18,Chicago current district polygon,165,ALPR,2025-09-03T14:50:19Z,3,171411882,https://www.openstreetmap.org/changeset/171411882,clairebaire,20453286,,,,skipped,,,,,,,,,,,"{""camera:type"": ""fixed"", ""direction"": ""165"", ""man_made"": ""surveillance"", ""surveillance:type"": ""ALPR""}","{""changeset"": 171411882, ""id"": 7025421509, ""lat"": 41.8909987, ""lon"": -87.6267914, ""tags"": {""camera:type"": ""fixed"", ""direction"": ""165"", ""man_made"": ""surveillance"", ""surveillance:type"": ""ALPR""}, ""timestamp"": ""2025-09-03T14:50:19Z"", ""type"": ""node"", ""uid"": 20453286, ""user"": ""clairebaire"", ""version"": 3}"
node,9213232773,https://www.openstreetmap.org/node/9213232773,41.9858332,-87.7877242,,,,Chicago Police Department,manufacturer_unknown,,yes,,not available in OSM,60631,Chicago ZIP polygon,16,Chicago current district polygon,180,ALPR,2024-08-27T03:16:23Z,3,155808816,https://www.openstreetmap.org/changeset/155808816,Zol87,1237170,,,,skipped,,,,,,,,,,,"{""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""180"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 155808816, ""id"": 9213232773, ""lat"": 41.9858332, ""lon"": -87.7877242, ""tags"": {""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""180"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2024-08-27T03:16:23Z"", ""type"": ""node"", ""uid"": 1237170, ""user"": ""Zol87"", ""version"": 3}"
node,9213245005,https://www.openstreetmap.org/node/9213245005,41.9238365,-87.7697797,,,,Chicago Police Department,manufacturer_unknown,,yes,,not available in OSM,60639,Chicago ZIP polygon,25,Chicago current district polygon,90,ALPR,2024-08-27T09:25:50Z,4,155820576,https://www.openstreetmap.org/changeset/155820576,Zol87,1237170,,,,skipped,,,,,,,,,,,"{""camera:mount"": ""lighting_pole"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 155820576, ""id"": 9213245005, ""lat"": 41.9238365, ""lon"": -87.7697797, ""tags"": {""camera:mount"": ""lighting_pole"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2024-08-27T09:25:50Z"", ""type"": ""node"", ""uid"": 1237170, ""user"": ""Zol87"", ""version"": 4}"
node,9255130981,https://www.openstreetmap.org/node/9255130981,41.928355,-87.7147747,,,,Chicago Police Department,manufacturer_unknown,,yes,,not available in OSM,60647,Chicago ZIP polygon,14,Chicago current district polygon,90,ALPR,2024-08-27T09:25:50Z,2,155820576,https://www.openstreetmap.org/changeset/155820576,Zol87,1237170,,,,skipped,,,,,,,,,,,"{""camera:mount"": ""lighting_pole"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""street""}","{""changeset"": 155820576, ""id"": 9255130981, ""lat"": 41.928355, ""lon"": -87.7147747, ""tags"": {""camera:mount"": ""lighting_pole"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""street""}, ""timestamp"": ""2024-08-27T09:25:50Z"", ""type"": ""node"", ""uid"": 1237170, ""user"": ""Zol87"", ""version"": 2}"
node,9255130982,https://www.openstreetmap.org/node/9255130982,41.9533902,-87.7468795,,,,Chicago Police Department,manufacturer_unknown,,yes,,not available in OSM,60641,Chicago ZIP polygon,17,Chicago current district polygon,90,ALPR,2025-09-26T19:26:13Z,5,172500410,https://www.openstreetmap.org/changeset/172500410,Zol87,1237170,,,,skipped,,,,,,,,,,,"{""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 172500410, ""id"": 9255130982, ""lat"": 41.9533902, ""lon"": -87.7468795, ""tags"": {""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2025-09-26T19:26:13Z"", ""type"": ""node"", ""uid"": 1237170, ""user"": ""Zol87"", ""version"": 5}"
node,9255130983,https://www.openstreetmap.org/node/9255130983,41.92404,-87.7559999,,,,Chicago Police Department,manufacturer_unknown,,yes,,not available in OSM,60639,Chicago ZIP polygon,25,Chicago current district polygon,90,ALPR,2024-08-27T09:25:50Z,2,155820576,https://www.openstreetmap.org/changeset/155820576,Zol87,1237170,,,,skipped,,,,,,,,,,,"{""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 155820576, ""id"": 9255130983, ""lat"": 41.92404, ""lon"": -87.7559999, ""tags"": {""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""90"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2024-08-27T09:25:50Z"", ""type"": ""node"", ""uid"": 1237170, ""user"": ""Zol87"", ""version"": 2}"
node,9404107657,https://www.openstreetmap.org/node/9404107657,41.8762522,-87.6767545,,,,Chicago Police Department,manufacturer_unknown,,yes,,not available in OSM,60612,Chicago ZIP polygon,12,Chicago current district polygon,270,ALPR,2024-08-27T03:16:23Z,2,155808816,https://www.openstreetmap.org/changeset/155808816,Zol87,1237170,,,,skipped,,,,,,,,,,,"{""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""270"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 155808816, ""id"": 9404107657, ""lat"": 41.8762522, ""lon"": -87.6767545, ""tags"": {""camera:mount"": ""traffic_signals"", ""camera:type"": ""fixed"", ""direction"": ""270"", ""man_made"": ""surveillance"", ""operator"": ""Chicago Police Department"", ""operator:wikidata"": ""Q1340186"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2024-08-27T03:16:23Z"", ""type"": ""node"", ""uid"": 1237170, ""user"": ""Zol87"", ""version"": 2}"
node,9456438522,https://www.openstreetmap.org/node/9456438522,41.9985259,-87.8782926,Flock Safety,,,,flock_confirmed_by_osm_tag,,no (or not matched to district polygons),,not available in OSM,,unresolved,,ambiguous polygon matches (0),,camera,2026-08-15T04:23:58Z,2,187470605,https://www.openstreetmap.org/changeset/187470605,Araxe,24358121,,,,skipped,,,,,,,,,,,"{""camera:model"": ""Condor"", ""camera:type"": ""dome"", ""man_made"": ""surveillance"", ""manufacturer"": ""Flock Safety"", ""manufacturer:wikidata"": ""Q108485435"", ""surveillance"": ""public"", ""surveillance:type"": ""camera""}","{""changeset"": 187470605, ""id"": 9456438522, ""lat"": 41.9985259, ""lon"": -87.8782926, ""tags"": {""camera:model"": ""Condor"", ""camera:type"": ""dome"", ""man_made"": ""surveillance"", ""manufacturer"": ""Flock Safety"", ""manufacturer:wikidata"": ""Q108485435"", ""surveillance"": ""public"", ""surveillance:type"": ""camera""}, ""timestamp"": ""2026-08-15T04:23:58Z"", ""type"": ""node"", ""uid"": 24358121, ""user"": ""Araxe"", ""version"": 2}"
