osm_type,osm_id,osm_url,latitude,longitude,manufacturer,brand,model,operator,camera_class,name,in_chicago_city,address,address_source,zip_code,zip_source,police_district,district_source,direction,surveillance_type,last_osm_edit_utc,osm_version,osm_changeset_id,osm_changeset_url,osm_last_editor,osm_last_editor_uid,first_osm_mapped_utc,first_alpr_tagged_utc,first_flock_tagged_utc,history_status,installation_date,installation_date_source,installation_date_url,operational_date,operational_date_source,operational_date_url,date_notes,osm_start_date_tag,osm_construction_date_tag,osm_opening_date_tag,osm_tags_json,osm_full_element_json
node,12300586960,https://www.openstreetmap.org/node/12300586960,41.927592,-87.7882395,,Flock Safety,,Flock Safety,flock_confirmed_by_osm_tag,,yes,,not available in OSM,60707,Chicago ZIP polygon,25,Chicago current district polygon,350,ALPR,2025-10-30T19:23:41Z,2,173992227,https://www.openstreetmap.org/changeset/173992227,xander_ale,23449486,,,,skipped,,,,,,,,,,,"{""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""350"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 173992227, ""id"": 12300586960, ""lat"": 41.927592, ""lon"": -87.7882395, ""tags"": {""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""350"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2025-10-30T19:23:41Z"", ""type"": ""node"", ""uid"": 23449486, ""user"": ""xander_ale"", ""version"": 2}"
node,12300586961,https://www.openstreetmap.org/node/12300586961,41.9291403,-87.7892283,,Flock Safety,,Flock Safety,flock_confirmed_by_osm_tag,,yes,,not available in OSM,60707,Chicago ZIP polygon,25,Chicago current district polygon,180,ALPR,2024-10-31T03:31:12Z,1,158565706,https://www.openstreetmap.org/changeset/158565706,JakeTheMoose,1898744,,,,skipped,,,,,,,,,,,"{""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""180"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 158565706, ""id"": 12300586961, ""lat"": 41.9291403, ""lon"": -87.7892283, ""tags"": {""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""180"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2024-10-31T03:31:12Z"", ""type"": ""node"", ""uid"": 1898744, ""user"": ""JakeTheMoose"", ""version"": 1}"
node,12300622037,https://www.openstreetmap.org/node/12300622037,41.9062906,-87.6677723,,Flock Safety,,Flock Safety,flock_confirmed_by_osm_tag,,yes,,not available in OSM,60622,Chicago ZIP polygon,14,Chicago current district polygon,250,ALPR,2024-10-31T03:07:49Z,1,158565457,https://www.openstreetmap.org/changeset/158565457,JakeTheMoose,1898744,,,,skipped,,,,,,,,,,,"{""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""250"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 158565457, ""id"": 12300622037, ""lat"": 41.9062906, ""lon"": -87.6677723, ""tags"": {""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""250"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2024-10-31T03:07:49Z"", ""type"": ""node"", ""uid"": 1898744, ""user"": ""JakeTheMoose"", ""version"": 1}"
node,12300622038,https://www.openstreetmap.org/node/12300622038,41.9052971,-87.6678915,,Flock Safety,,Flock Safety,flock_confirmed_by_osm_tag,,yes,,not available in OSM,60622,Chicago ZIP polygon,14,Chicago current district polygon,270,ALPR,2024-10-31T03:07:49Z,1,158565457,https://www.openstreetmap.org/changeset/158565457,JakeTheMoose,1898744,,,,skipped,,,,,,,,,,,"{""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""270"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 158565457, ""id"": 12300622038, ""lat"": 41.9052971, ""lon"": -87.6678915, ""tags"": {""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""270"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2024-10-31T03:07:49Z"", ""type"": ""node"", ""uid"": 1898744, ""user"": ""JakeTheMoose"", ""version"": 1}"
node,12704643499,https://www.openstreetmap.org/node/12704643499,41.9277588,-87.6731467,Flock Safety,,,,flock_confirmed_by_osm_tag,,yes,,not available in OSM,60614,Chicago ZIP polygon,19,Chicago current district polygon,230,ALPR,2025-03-27T12:03:36Z,1,164160978,https://www.openstreetmap.org/changeset/164160978,FourPugCowboy,22577580,,,,skipped,,,,,,,,,,,"{""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""230"", ""man_made"": ""surveillance"", ""manufacturer"": ""Flock Safety"", ""manufacturer:wikidata"": ""Q108485435"", ""surveillance"": ""public"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 164160978, ""id"": 12704643499, ""lat"": 41.9277588, ""lon"": -87.6731467, ""tags"": {""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""230"", ""man_made"": ""surveillance"", ""manufacturer"": ""Flock Safety"", ""manufacturer:wikidata"": ""Q108485435"", ""surveillance"": ""public"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2025-03-27T12:03:36Z"", ""type"": ""node"", ""uid"": 22577580, ""user"": ""FourPugCowboy"", ""version"": 1}"
node,12770696790,https://www.openstreetmap.org/node/12770696790,41.9909733,-87.6898734,Flock Safety,,,,flock_confirmed_by_osm_tag,,yes,,not available in OSM,60659,Chicago ZIP polygon,24,Chicago current district polygon,170,ALPR,2025-04-20T17:48:35Z,1,165206241,https://www.openstreetmap.org/changeset/165206241,FourPugCowboy,22577580,,,,skipped,,,,,,,,,,,"{""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""170"", ""man_made"": ""surveillance"", ""manufacturer"": ""Flock Safety"", ""manufacturer:wikidata"": ""Q108485435"", ""surveillance"": ""public"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 165206241, ""id"": 12770696790, ""lat"": 41.9909733, ""lon"": -87.6898734, ""tags"": {""camera:mount"": ""pole"", ""camera:type"": ""fixed"", ""direction"": ""170"", ""man_made"": ""surveillance"", ""manufacturer"": ""Flock Safety"", ""manufacturer:wikidata"": ""Q108485435"", ""surveillance"": ""public"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2025-04-20T17:48:35Z"", ""type"": ""node"", ""uid"": 22577580, ""user"": ""FourPugCowboy"", ""version"": 1}"
node,13038150126,https://www.openstreetmap.org/node/13038150126,41.9254149,-87.7924619,,Flock Safety,,Flock Safety,flock_confirmed_by_osm_tag,,yes,,not available in OSM,60707,Chicago ZIP polygon,25,Chicago current district polygon,210,ALPR,2025-07-30T21:56:20Z,1,169743191,https://www.openstreetmap.org/changeset/169743191,JakeTheMoose,1898744,,,,skipped,,,,,,,,,,,"{""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""street_lamp"", ""camera:type"": ""fixed"", ""direction"": ""210"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 169743191, ""id"": 13038150126, ""lat"": 41.9254149, ""lon"": -87.7924619, ""tags"": {""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""street_lamp"", ""camera:type"": ""fixed"", ""direction"": ""210"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2025-07-30T21:56:20Z"", ""type"": ""node"", ""uid"": 1898744, ""user"": ""JakeTheMoose"", ""version"": 1}"
node,13038150127,https://www.openstreetmap.org/node/13038150127,41.9254177,-87.7924621,,Flock Safety,,Flock Safety,flock_confirmed_by_osm_tag,,yes,,not available in OSM,60707,Chicago ZIP polygon,25,Chicago current district polygon,285,ALPR,2025-07-30T21:56:20Z,1,169743191,https://www.openstreetmap.org/changeset/169743191,JakeTheMoose,1898744,,,,skipped,,,,,,,,,,,"{""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""street_lamp"", ""camera:type"": ""fixed"", ""direction"": ""285"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}","{""changeset"": 169743191, ""id"": 13038150127, ""lat"": 41.9254177, ""lon"": -87.7924621, ""tags"": {""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""street_lamp"", ""camera:type"": ""fixed"", ""direction"": ""285"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""traffic"", ""surveillance:type"": ""ALPR"", ""surveillance:zone"": ""traffic""}, ""timestamp"": ""2025-07-30T21:56:20Z"", ""type"": ""node"", ""uid"": 1898744, ""user"": ""JakeTheMoose"", ""version"": 1}"
node,13038182147,https://www.openstreetmap.org/node/13038182147,41.9258743,-87.7924749,,Flock Safety,,Flock Safety,flock_confirmed_by_osm_tag,,yes,,not available in OSM,60707,Chicago ZIP polygon,25,Chicago current district polygon,,gunshot_detector,2025-07-30T22:19:39Z,1,169743813,https://www.openstreetmap.org/changeset/169743813,JakeTheMoose,1898744,,,,skipped,,,,,,,,,,,"{""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""street_lamp"", ""camera:type"": ""fixed"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""public"", ""surveillance:type"": ""gunshot_detector""}","{""changeset"": 169743813, ""id"": 13038182147, ""lat"": 41.9258743, ""lon"": -87.7924749, ""tags"": {""brand"": ""Flock Safety"", ""brand:wikidata"": ""Q108485435"", ""camera:mount"": ""street_lamp"", ""camera:type"": ""fixed"", ""man_made"": ""surveillance"", ""operator"": ""Flock Safety"", ""operator:wikidata"": ""Q108485435"", ""surveillance"": ""public"", ""surveillance:type"": ""gunshot_detector""}, ""timestamp"": ""2025-07-30T22:19:39Z"", ""type"": ""node"", ""uid"": 1898744, ""user"": ""JakeTheMoose"", ""version"": 1}"
node,13056453486,https://www.openstreetmap.org/node/13056453486,41.7481751,-87.7408555,Flock Safety,,,,flock_confirmed_by_osm_tag,,yes,,not available in OSM,60652,Chicago ZIP polygon,8,Chicago current district polygon,95,ALPR,2025-08-07T16:25:58Z,1,170116423,https://www.openstreetmap.org/changeset/170116423,FourPugCowboy,22577580,,,,skipped,,,,,,,,,,,"{""camera:type"": ""fixed"", ""direction"": ""95"", ""man_made"": ""surveillance"", ""manufacturer"": ""Flock Safety"", ""manufacturer:wikidata"": ""Q108485435"", ""surveillance:type"": ""ALPR""}","{""changeset"": 170116423, ""id"": 13056453486, ""lat"": 41.7481751, ""lon"": -87.7408555, ""tags"": {""camera:type"": ""fixed"", ""direction"": ""95"", ""man_made"": ""surveillance"", ""manufacturer"": ""Flock Safety"", ""manufacturer:wikidata"": ""Q108485435"", ""surveillance:type"": ""ALPR""}, ""timestamp"": ""2025-08-07T16:25:58Z"", ""type"": ""node"", ""uid"": 22577580, ""user"": ""FourPugCowboy"", ""version"": 1}"
