bia,complaints,copa_records,year_month
467,1198,731,2000-01
480,1178,698,2000-02
584,1414,830,2000-03
461,1128,667,2000-04
574,1364,790,2000-05
613,1462,849,2000-06
610,1471,861,2000-07
645,1550,905,2000-08
559,1342,783,2000-09
538,1333,795,2000-10
478,1171,693,2000-11
405,992,587,2000-12
518,1231,713,2001-01
411,1031,620,2001-02
513,1257,744,2001-03
518,1273,755,2001-04
554,1356,802,2001-05
619,1473,854,2001-06
626,1510,884,2001-07
602,1445,843,2001-08
578,1375,797,2001-09
517,1275,758,2001-10
539,1285,746,2001-11
463,1107,644,2001-12
467,1179,712,2002-01
465,1121,656,2002-02
499,1210,711,2002-03
571,1389,818,2002-04
631,1494,863,2002-05
612,1472,860,2002-06
624,1517,893,2002-07
630,1530,900,2002-08
585,1408,823,2002-09
582,1414,832,2002-10
477,1146,669,2002-11
430,1037,607,2002-12
482,1122,640,2003-01
422,994,572,2003-02
451,1061,610,2003-03
453,1063,610,2003-04
479,1158,679,2003-05
482,1159,677,2003-06
535,1291,756,2003-07
515,1225,710,2003-08
575,1349,774,2003-09
510,1209,699,2003-10
520,1229,709,2003-11
477,1113,636,2003-12
525,1245,720,2004-01
484,1146,662,2004-02
477,1175,698,2004-03
502,1199,697,2004-04
511,1238,727,2004-05
459,1139,680,2004-06
458,1133,675,2004-07
481,1170,689,2004-08
433,1083,650,2004-09
421,1063,642,2004-10
377,948,571,2004-11
399,977,578,2004-12
394,979,585,2005-01
363,869,506,2005-02
379,955,576,2005-03
494,1208,714,2005-04
463,1176,713,2005-05
427,1095,668,2005-06
498,1279,781,2005-07
447,1134,687,2005-08
441,1133,692,2005-09
358,927,569,2005-10
357,877,520,2005-11
284,726,442,2005-12
352,897,545,2006-01
323,816,493,2006-02
378,951,573,2006-03
384,976,592,2006-04
388,991,603,2006-05
414,1033,619,2006-06
441,1110,669,2006-07
419,1036,617,2006-08
425,1031,606,2006-09
609,1413,804,2006-10
565,1326,761,2006-11
500,1169,669,2006-12
616,1407,791,2007-01
473,1081,608,2007-02
584,1382,798,2007-03
589,1367,778,2007-04
644,1485,841,2007-05
715,1664,949,2007-06
655,1560,905,2007-07
653,1516,863,2007-08
601,1443,842,2007-09
634,1493,859,2007-10
522,1245,723,2007-11
496,1187,691,2007-12
621,1442,821,2008-01
558,1301,743,2008-02
594,1396,802,2008-03
593,1384,791,2008-04
620,1466,846,2008-05
582,1381,799,2008-06
668,1558,890,2008-07
635,1502,867,2008-08
635,1512,877,2008-09
626,1488,862,2008-10
535,1326,791,2008-11
471,1155,684,2008-12
546,1290,744,2009-01
565,1336,771,2009-02
603,1472,869,2009-03
566,1360,794,2009-04
628,1531,903,2009-05
696,1647,951,2009-06
679,1627,948,2009-07
671,1603,932,2009-08
641,1568,927,2009-09
598,1440,842,2009-10
548,1283,735,2009-11
469,1127,658,2009-12
474,1153,679,2010-01
472,1132,660,2010-02
598,1450,852,2010-03
574,1429,855,2010-04
558,1409,851,2010-05
618,1538,920,2010-06
496,1334,838,2010-07
613,1544,931,2010-08
534,1356,822,2010-09
547,1410,863,2010-10
437,1107,670,2010-11
384,962,578,2010-12
486,1188,702,2011-01
389,949,560,2011-02
531,1292,761,2011-03
453,1116,663,2011-04
473,1208,735,2011-05
486,1286,800,2011-06
465,1226,761,2011-07
529,1314,785,2011-08
563,1372,809,2011-09
508,1266,758,2011-10
443,1111,668,2011-11
395,1007,612,2011-12
412,1014,602,2012-01
455,1096,641,2012-02
503,1255,752,2012-03
485,1188,703,2012-04
480,1206,726,2012-05
521,1275,754,2012-06
568,1368,800,2012-07
540,1324,784,2012-08
466,1146,680,2012-09
501,1208,707,2012-10
421,1022,601,2012-11
357,873,516,2012-12
452,1079,627,2013-01
421,994,573,2013-02
476,1104,628,2013-03
625,1418,793,2013-04
513,1228,715,2013-05
424,1038,614,2013-06
556,1283,727,2013-07
498,1164,666,2013-08
468,1107,639,2013-09
450,1030,580,2013-10
410,945,535,2013-11
352,825,473,2013-12
337,791,454,2014-01
330,784,454,2014-02
421,996,575,2014-03
410,985,575,2014-04
466,1091,625,2014-05
405,973,568,2014-06
454,1073,619,2014-07
428,1018,590,2014-08
373,861,488,2014-09
407,958,551,2014-10
307,713,406,2014-11
323,760,437,2014-12
343,782,439,2015-01
278,643,365,2015-02
375,869,494,2015-03
332,791,459,2015-04
367,871,504,2015-05
383,883,500,2015-06
364,890,526,2015-07
365,851,486,2015-08
324,755,431,2015-09
358,832,474,2015-10
297,698,401,2015-11
320,758,438,2015-12
296,690,394,2016-01
283,640,357,2016-02
339,798,459,2016-03
327,763,436,2016-04
318,746,428,2016-05
328,786,458,2016-06
308,754,446,2016-07
277,682,405,2016-08
296,692,396,2016-09
265,624,359,2016-10
273,662,389,2016-11
236,560,324,2016-12
276,643,367,2017-01
271,623,352,2017-02
308,707,399,2017-03
270,642,372,2017-04
269,653,384,2017-05
264,623,359,2017-06
257,616,359,2017-07
343,793,450,2017-08
244,604,360,2017-09
251,650,399,2017-10
211,536,325,2017-11
181,475,294,2017-12
234,594,360,2018-01
199,491,292,2018-02
231,559,328,2018-03
236,576,340,2018-04
261,652,391,2018-05
233,592,359,2018-06
266,695,429,2018-07
296,708,412,2018-08
191,519,328,2018-09
240,616,376,2018-10
172,441,269,2018-11
180,475,295,2018-12
234,625,391,2019-01
191,566,375,2019-02
148,482,334,2019-03
188,641,453,2019-04
194,662,468,2019-05
203,705,502,2019-06
239,775,536,2019-07
213,783,570,2019-08
155,531,376,2019-09
176,709,533,2019-10
184,613,429,2019-11
167,625,458,2019-12
230,784,554,2020-01
179,620,441,2020-02
123,569,446,2020-03
84,338,254,2020-04
152,553,401,2020-05
332,1181,849,2020-06
212,740,528,2020-07
213,764,551,2020-08
199,633,434,2020-09
197,609,412,2020-10
168,579,411,2020-11
181,602,421,2020-12
189,583,394,2021-01
176,517,341,2021-02
202,653,451,2021-03
187,647,460,2021-04
202,637,435,2021-05
250,709,459,2021-06
224,674,450,2021-07
214,667,453,2021-08
190,645,455,2021-09
212,626,414,2021-10
271,746,475,2021-11
192,551,359,2021-12
173,538,365,2022-01
188,541,353,2022-02
210,625,415,2022-03
247,684,437,2022-04
215,632,417,2022-05
300,846,546,2022-06
250,709,459,2022-07
288,793,505,2022-08
288,791,503,2022-09
255,719,464,2022-10
241,651,410,2022-11
237,640,403,2022-12
273,718,445,2023-01
257,673,416,2023-02
289,799,510,2023-03
269,739,470,2023-04
266,761,495,2023-05
291,795,504,2023-06
285,823,538,2023-07
330,951,621,2023-08
318,908,590,2023-09
317,859,542,2023-10
290,784,494,2023-11
226,674,448,2023-12
223,693,470,2024-01
252,734,482,2024-02
251,765,514,2024-03
236,851,615,2024-04
293,876,583,2024-05
273,778,505,2024-06
299,810,511,2024-07
329,862,533,2024-08
305,855,550,2024-09
334,974,640,2024-10
253,734,481,2024-11
243,734,491,2024-12
311,839,528,2025-01
249,709,460,2025-02
277,823,546,2025-03
269,782,513,2025-04
349,929,580,2025-05
359,953,594,2025-06
371,993,622,2025-07
336,897,561,2025-08
318,818,500,2025-09
279,833,554,2025-10
250,646,396,2025-11
251,677,426,2025-12
283,759,476,2026-01
262,704,442,2026-02
363,945,582,2026-03
310,816,506,2026-04
318,869,551,2026-05
344,928,584,2026-06
373,1009,636,2026-07
305,753,448,2026-08
236,236,0,2026-09
