data_owner_slug,data_owner_agency,data_owner_city,data_owner_state,agency_with_access_slug,agency_with_access,agency_with_access_city,agency_with_access_state,relationship,owner_portal_url,source,source_generated_at
adrian-mi-pd,Adrian MI PD,Adrian,MI,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/adrian-mi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
adrian-mi-pd,Adrian MI PD,Adrian,MI,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/adrian-mi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
adrian-mi-pd,Adrian MI PD,Adrian,MI,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/adrian-mi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
adrian-mi-pd,Adrian MI PD,Adrian,MI,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/adrian-mi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
adrian-mi-pd,Adrian MI PD,Adrian,MI,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/adrian-mi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
adrian-mi-pd,Adrian MI PD,Adrian,MI,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/adrian-mi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
allen-county-in-so,Allen County IN SO,Allen County,IN,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/allen-county-in-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
anoka-county-mn-so,Anoka County MN SO,Anoka County,MN,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/anoka-county-mn-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
anoka-county-mn-so,Anoka County MN SO,Anoka County,MN,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/anoka-county-mn-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
anoka-county-mn-so,Anoka County MN SO,Anoka County,MN,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/anoka-county-mn-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
anoka-county-mn-so,Anoka County MN SO,Anoka County,MN,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/anoka-county-mn-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
