slug,agency,city,state,is_portal,portal_url,connection_count,latitude,longitude
gulf-shores-al-pd,Gulf Shores AL PD,Gulf Shores,AL,True,https://transparency.flocksafety.com/gulf-shores-al-pd,55,30.2758,-87.7013
hartselle-al-pd,Hartselle AL PD,Hartselle,AL,True,https://transparency.flocksafety.com/hartselle-al-pd,2027,34.4404,-86.9404
huntsville-airport-al-pd,Huntsville Airport AL PD,Huntsville Airport,AL,True,https://transparency.flocksafety.com/huntsville-airport-al-pd,250,34.6377,-86.7768
jemison-al-pd,Jemison AL PD,Jemison,AL,True,https://transparency.flocksafety.com/jemison-al-pd,100,32.9707,-86.7331
margaret-al-pd,Margaret AL PD,Margaret,AL,True,https://transparency.flocksafety.com/margaret-al-pd,237,33.6729,-86.4639
morgan-county-al-so,Morgan County AL SO,Morgan County,AL,True,https://transparency.flocksafety.com/morgan-county-al-so,2015,34.4545,-86.8464
moundville-al-pd,Moundville AL PD,Moundville,AL,True,https://transparency.flocksafety.com/moundville-al-pd,285,32.9965,-87.6275
red-bay-al-pd,Red Bay AL PD,Red Bay,AL,True,https://transparency.flocksafety.com/red-bay-al-pd,288,34.4361,-88.1365
al-troy-university-insight-,Troy University AL PD,,AL,True,https://transparency.flocksafety.com/al-troy-university-insight-,203,31.8026,-85.9572
barling-ar-pd,Barling AR PD,Barling,AR,True,https://transparency.flocksafety.com/barling-ar-pd,43,35.3313,-94.2752
bentonville-ar-pd,Bentonville AR PD,Bentonville,AR,True,https://transparency.flocksafety.com/bentonville-ar-pd,50,36.3527,-94.2312
bryant-ar-pd,Bryant AR PD,Bryant,AR,True,https://transparency.flocksafety.com/bryant-ar-pd,1070,34.6151,-92.4913
cabot-ar-pd,Cabot AR PD,Cabot,AR,True,https://transparency.flocksafety.com/cabot-ar-pd,190,34.9751,-92.0283
centerton-ar-pd,Centerton AR PD,Centerton,AR,True,https://transparency.flocksafety.com/centerton-ar-pd,78,36.3551,-94.2977
conway-ar-pd,Conway AR PD,Conway,AR,True,https://transparency.flocksafety.com/conway-ar-pd,91,35.0744,-92.467
fort-smith-ar-pd,Fort Smith AR PD,Fort Smith,AR,True,https://transparency.flocksafety.com/fort-smith-ar-pd,13,35.3493,-94.3709
greenwood-ar-pd,Greenwood AR PD,Greenwood,AR,True,https://transparency.flocksafety.com/greenwood-ar-pd,51,35.2269,-94.2764
jacksonville-ar-pd,Jacksonville AR PD,Jacksonville,AR,True,https://transparency.flocksafety.com/jacksonville-ar-pd,1094,34.8805,-92.1306
little-rock-ar-pd,Little Rock AR PD,Little Rock,AR,True,https://transparency.flocksafety.com/little-rock-ar-pd,174,34.7254,-92.3586
lonoke-county-ar-so,Lonoke County AR SO,Lonoke County,AR,True,https://transparency.flocksafety.com/lonoke-county-ar-so,918,34.7905,-91.9074
marshall-ar-pd,Marshall AR PD,Marshall,AR,True,https://transparency.flocksafety.com/marshall-ar-pd,36,35.9085,-92.6465
morrilton-ar-pd,Morrilton AR PD,Morrilton,AR,True,https://transparency.flocksafety.com/morrilton-ar-pd,96,35.1555,-92.7389
pea-ridge-ar-pd,Pea Ridge AR PD,Pea Ridge,AR,True,https://transparency.flocksafety.com/pea-ridge-ar-pd,216,36.4528,-94.1259
russellville-ar-pd,Russellville AR PD,Russellville,AR,True,https://transparency.flocksafety.com/russellville-ar-pd,171,35.2763,-93.1387
sherwood-ar-pd,Sherwood AR PD,Sherwood,AR,True,https://transparency.flocksafety.com/sherwood-ar-pd,1711,34.852,-92.2045
siloam-springs-ar-pd,Siloam Springs AR PD,Siloam Springs,AR,True,https://transparency.flocksafety.com/siloam-springs-ar-pd,140,36.1846,-94.5315
springdale-ar-pd,Springdale AR PD,Springdale,AR,True,https://transparency.flocksafety.com/springdale-ar-pd,48,36.1914,-94.1551
texarkana-ar-pd,Texarkana AR PD,Texarkana,AR,True,https://transparency.flocksafety.com/texarkana-ar-pd,60,33.4363,-93.9871
apache-junction-az-pd,Apache Junction AZ PD,Apache Junction,AZ,True,https://transparency.flocksafety.com/apache-junction-az-pd,14,33.3828,-111.5405
buckeye-az-pd,Buckeye AZ PD,Buckeye,AZ,True,https://transparency.flocksafety.com/buckeye-az-pd,16,33.4316,-112.6416
casa-grande-az-pd,Casa Grande AZ PD,Casa Grande,AZ,True,https://transparency.flocksafety.com/casa-grande-az-pd,193,32.9069,-111.7635
chino-valley-az-pd,Chino Valley AZ PD,Chino Valley,AZ,True,https://transparency.flocksafety.com/chino-valley-az-pd,12,34.7399,-112.4061
coconino-az-so,Coconino AZ SO,Coconino,AZ,True,https://transparency.flocksafety.com/coconino-az-so,14,35.8297,-111.7737
el-mirage-az-pd,El Mirage AZ PD,El Mirage,AZ,True,https://transparency.flocksafety.com/el-mirage-az-pd,7,33.5902,-112.3271
flagstaff-az-pd,Flagstaff AZ PD,Flagstaff,AZ,True,https://transparency.flocksafety.com/flagstaff-az-pd,8,35.1852,-111.6207
florence-az-pd,Florence AZ PD,Florence,AZ,True,https://transparency.flocksafety.com/florence-az-pd,67,33.0694,-111.414
goodyear-az-pd,Goodyear AZ PD,Goodyear,AZ,True,https://transparency.flocksafety.com/goodyear-az-pd,125,33.254,-112.3665
lake-havasu-city-az-pd,Lake Havasu City AZ PD,Lake Havasu City,AZ,True,https://transparency.flocksafety.com/lake-havasu-city-az-pd,70,34.4998,-114.3109
maricopa-az-pd,Maricopa AZ PD,Maricopa,AZ,True,https://transparency.flocksafety.com/maricopa-az-pd,67,33.0419,-111.9993
oro-valley-az-pd,Oro Valley AZ PD,Oro Valley,AZ,True,https://transparency.flocksafety.com/oro-valley-az-pd,70,32.4207,-110.977
page-az-pd,Page AZ PD,Page,AZ,True,https://transparency.flocksafety.com/page-az-pd,51,36.9418,-111.5133
payson-az-pd,Payson AZ PD,Payson,AZ,True,https://transparency.flocksafety.com/payson-az-pd,88,34.2438,-111.319
city-of-peoria-pd,Peoria AZ PD,Peoria,AZ,True,https://transparency.flocksafety.com/city-of-peoria-pd,0,33.7862,-112.308
prescott-az-pd,Prescott AZ PD,Prescott,AZ,True,https://transparency.flocksafety.com/prescott-az-pd,194,34.5922,-112.4467
prescott-valley-az-pd,Prescott Valley AZ PD,Prescott Valley,AZ,True,https://transparency.flocksafety.com/prescott-valley-az-pd,32,34.5979,-112.3185
safford-az-pd,Safford AZ PD,Safford,AZ,True,https://transparency.flocksafety.com/safford-az-pd,11,32.8333,-109.6974
south-tucson-az-pd,South Tucson AZ PD,South Tucson,AZ,True,https://transparency.flocksafety.com/south-tucson-az-pd,10,32.1955,-110.9692
saint-johns-az-pd,St. Johns AZ PD,St. Johns,AZ,True,https://transparency.flocksafety.com/saint-johns-az-pd,0,34.5004,-109.3769
tempe-az-pd,Tempe AZ PD,Tempe,AZ,True,https://transparency.flocksafety.com/tempe-az-pd,12,33.3884,-111.9318
thatcher-az-pd,Thatcher AZ PD,Thatcher,AZ,True,https://transparency.flocksafety.com/thatcher-az-pd,15,32.8127,-109.7665
tucson-az-pd,Tucson AZ PD,Tucson,AZ,True,https://transparency.flocksafety.com/tucson-az-pd,0,32.153,-110.8708
university-of-arizona-campus-az-pd,University Of Arizona AZ PD,,AZ,True,https://transparency.flocksafety.com/university-of-arizona-campus-az-pd,63,32.2339,-110.9481
alameda-ca-pd,Alameda CA PD,Alameda,CA,True,https://transparency.flocksafety.com/alameda-ca-pd,92,37.7419,-122.2599
alameda-county-ca-so,Alameda County CA SO,Alameda County,CA,True,https://transparency.flocksafety.com/alameda-county-ca-so,198,37.7419,-122.2599
albany-ca-pd,Albany CA PD,Albany,CA,True,https://transparency.flocksafety.com/albany-ca-pd,106,37.8907,-122.3181
alhambra-ca-pd,Alhambra CA PD,Alhambra,CA,True,https://transparency.flocksafety.com/alhambra-ca-pd,330,34.0836,-118.1364
antioch-ca-pd,Antioch CA PD,Antioch,CA,True,https://transparency.flocksafety.com/antioch-ca-pd,286,37.9783,-121.7961
arcadia-ca-pd,Arcadia CA PD,Arcadia,CA,True,https://transparency.flocksafety.com/arcadia-ca-pd,179,34.1327,-118.0363
atherton-ca-pd,Atherton CA PD,Atherton,CA,True,https://transparency.flocksafety.com/atherton-ca-pd,311,37.4571,-122.2011
auburn-ca-pd,Auburn CA PD,Auburn,CA,True,https://transparency.flocksafety.com/auburn-ca-pd,321,38.8951,-121.0767
bakersfield-ca-pd,Bakersfield CA PD,Bakersfield,CA,True,https://transparency.flocksafety.com/bakersfield-ca-pd,371,35.3532,-119.0379
baldwin-park-ca-pd,Baldwin Park CA PD,Baldwin Park,CA,True,https://transparency.flocksafety.com/baldwin-park-ca-pd,323,34.0828,-117.9713
barstow-ca-pd,Barstow CA PD,Barstow,CA,True,https://transparency.flocksafety.com/barstow-ca-pd,322,34.867,-117.043
beaumont-ca-pd,Beaumont CA PD,Beaumont,CA,True,https://transparency.flocksafety.com/beaumont-ca-pd,321,33.8767,-116.953
bell-ca-pd,Bell CA PD,Bell,CA,True,https://transparency.flocksafety.com/bell-ca-pd,356,33.9797,-118.1792
bell-gardens-ca-pd,Bell Gardens CA PD,Bell Gardens,CA,True,https://transparency.flocksafety.com/bell-gardens-ca-pd,121,33.9644,-118.1544
belmont-ca-pd,Belmont CA PD,Belmont,CA,True,https://transparency.flocksafety.com/belmont-ca-pd,141,37.5144,-122.2945
belvedere-ca-pd,Belvedere CA PD,Belvedere,CA,True,https://transparency.flocksafety.com/belvedere-ca-pd,146,37.8736,-122.471
benicia-ca-pd,Benicia CA PD,Benicia,CA,True,https://transparency.flocksafety.com/benicia-ca-pd,194,38.0727,-122.1552
berkeley-ca-pd,Berkeley CA PD,Berkeley,CA,True,https://transparency.flocksafety.com/berkeley-ca-pd,171,37.8657,-122.2987
beverly-hills-ca-pd,Beverly Hills CA PD,Beverly Hills,CA,True,https://transparency.flocksafety.com/beverly-hills-ca-pd,316,34.0792,-118.4024
brawley-ca-pd,Brawley CA PD,Brawley,CA,True,https://transparency.flocksafety.com/brawley-ca-pd,335,32.9785,-115.5286
brisbane-ca-pd,Brisbane CA PD,Brisbane,CA,True,https://transparency.flocksafety.com/brisbane-ca-pd,145,37.6758,-122.3833
buena-park-ca-pd,Buena Park CA PD,Buena Park,CA,True,https://transparency.flocksafety.com/buena-park-ca-pd,333,33.8574,-118.0074
burbank-ca-pd,Burbank CA PD,Burbank,CA,True,https://transparency.flocksafety.com/burbank-ca-pd,363,34.1901,-118.3264
burlingame-ca-pd,Burlingame CA PD,Burlingame,CA,True,https://transparency.flocksafety.com/burlingame-ca-pd,97,37.59,-122.3633
butte-county-ca-so,Butte County CA SO,Butte County,CA,True,https://transparency.flocksafety.com/butte-county-ca-so,305,39.6653,-121.6032
cal-maritime-ca,Cal Maritime Academy CA PD,Cal Maritime Academy,CA,True,https://transparency.flocksafety.com/cal-maritime-ca,1,38.069,-122.2303
cal-poly-ca-pd,Cal Poly CA PD,Cal Poly,CA,True,https://transparency.flocksafety.com/cal-poly-ca-pd,0,35.3027,-120.6666
calistoga-ca-pd,Calistoga CA PD,Calistoga,CA,True,https://transparency.flocksafety.com/calistoga-ca-pd,380,38.5814,-122.5827
campbell-ca-pd,Campbell CA PD,Campbell,CA,True,https://transparency.flocksafety.com/campbell-ca-pd,335,37.2802,-121.9533
capitola-ca-pd,Capitola CA PD,Capitola,CA,True,https://transparency.flocksafety.com/capitola-ca-pd,145,36.9761,-121.954
carmel-ca-pd,Carmel CA PD,Carmel,CA,True,https://transparency.flocksafety.com/carmel-ca-pd,136,36.5552,-121.9233
cathedral-city-ca-pd,Cathedral City CA PD,Cathedral City,CA,True,https://transparency.flocksafety.com/cathedral-city-ca-pd,259,33.8355,-116.4631
chula-vista-ca-pd,Chula Vista CA PD,Chula Vista,CA,True,https://transparency.flocksafety.com/chula-vista-ca-pd,328,32.6277,-117.0152
citrus-heights-ca-pd,Citrus Heights CA PD,Citrus Heights,CA,True,https://transparency.flocksafety.com/citrus-heights-ca-pd,376,38.6948,-121.288
city-of-half-moon-bay-smcso-,City of Half Moon Bay (SMCSO) County CA SO,City of Half Moon Bay (SMCSO) County,CA,True,https://transparency.flocksafety.com/city-of-half-moon-bay-smcso-,279,37.4636,-122.4286
city-of-riverside-ca-pd-,City of Riverside CA PD,City of Riverside,CA,True,https://transparency.flocksafety.com/city-of-riverside-ca-pd-,334,33.9825,-117.3758
claremont-ca-pd,Claremont CA PD,Claremont,CA,True,https://transparency.flocksafety.com/claremont-ca-pd,248,34.1249,-117.7139
clearlake-ca-pd,Clearlake CA PD,Clearlake,CA,True,https://transparency.flocksafety.com/clearlake-ca-pd,167,38.96,-122.6332
cloverdale-ca-pd,Cloverdale CA PD,Cloverdale,CA,True,https://transparency.flocksafety.com/cloverdale-ca-pd,229,38.7948,-123.0147
colma-ca-pd,Colma CA PD,Colma,CA,True,https://transparency.flocksafety.com/colma-ca-pd,341,37.6767,-122.4528
colton-ca-pd-,Colton CA PD,Colton,CA,True,https://transparency.flocksafety.com/colton-ca-pd-,329,34.0545,-117.325
contra-costa-county-ca-so,Contra Costa County CA SO,Contra Costa County,CA,True,https://transparency.flocksafety.com/contra-costa-county-ca-so,340,37.9195,-121.9515
corona-ca-pd,Corona CA PD,Corona,CA,True,https://transparency.flocksafety.com/corona-ca-pd,345,33.862,-117.5655
coronado-ca-pd,Coronado CA PD,Coronado,CA,True,https://transparency.flocksafety.com/coronado-ca-pd,310,32.6576,-117.1565
costa-mesa-ca-pd,Costa Mesa CA PD,Costa Mesa,CA,True,https://transparency.flocksafety.com/costa-mesa-ca-pd,347,33.6659,-117.9123
covina-ca-pd,Covina CA PD,Covina,CA,True,https://transparency.flocksafety.com/covina-ca-pd,293,34.0905,-117.8821
culver-city-ca-pd,Culver City CA PD,Culver City,CA,True,https://transparency.flocksafety.com/culver-city-ca-pd,120,34.0058,-118.3968
danville-ca-pd,Danville CA PD,Danville,CA,True,https://transparency.flocksafety.com/danville-ca-pd,367,37.8121,-121.9698
delano-ca-pd,Delano CA PD,Delano,CA,True,https://transparency.flocksafety.com/delano-ca-pd,355,35.7664,-119.2642
desert-hot-springs-ca-pd,Desert Hot Springs CA PD,Desert Hot Springs,CA,True,https://transparency.flocksafety.com/desert-hot-springs-ca-pd,324,33.9576,-116.5423
dinuba-ca-pd,Dinuba CA PD,Dinuba,CA,True,https://transparency.flocksafety.com/dinuba-ca-pd,291,36.5451,-119.3988
dixon-ca-pd,Dixon CA PD,Dixon,CA,True,https://transparency.flocksafety.com/dixon-ca-pd,355,38.4475,-121.8242
dublin-ca-pd-acso,Dublin CA PD,Dublin,CA,True,https://transparency.flocksafety.com/dublin-ca-pd-acso,304,37.7161,-121.8962
east-palo-alto-ca-pd,East Palo Alto CA PD,East Palo Alto,CA,True,https://transparency.flocksafety.com/east-palo-alto-ca-pd,320,37.4678,-122.1325
-el-cajon-pd-ca,El Cajon CA PD,El Cajon,CA,True,https://transparency.flocksafety.com/-el-cajon-pd-ca,856,32.8017,-116.9605
el-cerrito-ca-pd,El Cerrito CA PD,El Cerrito,CA,True,https://transparency.flocksafety.com/el-cerrito-ca-pd,320,37.9196,-122.3025
el-segundo-ca-pd,El Segundo CA PD,El Segundo,CA,True,https://transparency.flocksafety.com/el-segundo-ca-pd,314,33.9104,-118.4251
emeryville-ca-pd,Emeryville CA PD,Emeryville,CA,True,https://transparency.flocksafety.com/emeryville-ca-pd,292,37.8385,-122.3017
escondido-ca-pd,Escondido CA PD,Escondido,CA,True,https://transparency.flocksafety.com/escondido-ca-pd,322,33.1331,-117.074
fairfield-ca-pd,Fairfield CA PD,Fairfield,CA,True,https://transparency.flocksafety.com/fairfield-ca-pd,441,38.2621,-122.0324
folsom-ca-pd,Folsom CA PD,Folsom,CA,True,https://transparency.flocksafety.com/folsom-ca-pd,235,38.6666,-121.1416
fontana-ca-pd,Fontana CA PD,Fontana,CA,True,https://transparency.flocksafety.com/fontana-ca-pd,342,34.1097,-117.4629
foothilldeanza-ca-pd,Foothill-DeAnza CA PD,Foothill-DeAnza,CA,True,https://transparency.flocksafety.com/foothilldeanza-ca-pd,137,37.3588,-122.1283
fort-bragg-ca-pd,Fort Bragg CA PD,Fort Bragg,CA,True,https://transparency.flocksafety.com/fort-bragg-ca-pd,314,39.4398,-123.8018
foster-city-ca-pd,Foster CA PD,Foster,CA,True,https://transparency.flocksafety.com/foster-city-ca-pd,13,41.2538,-122.9589
fountain-valley-ca-pd,Fountain Valley CA PD,Fountain Valley,CA,True,https://transparency.flocksafety.com/fountain-valley-ca-pd,303,33.7106,-117.9511
fremont-ca-pd,Fremont CA PD,Fremont,CA,True,https://transparency.flocksafety.com/fremont-ca-pd,369,37.4945,-121.9411
fullerton-ca-pd,Fullerton CA PD,Fullerton,CA,True,https://transparency.flocksafety.com/fullerton-ca-pd,339,33.8857,-117.928
galt-ca-pd,Galt CA PD,Galt,CA,True,https://transparency.flocksafety.com/galt-ca-pd,328,38.2685,-121.299
garden-grove-ca-pd,Garden Grove CA PD,Garden Grove,CA,True,https://transparency.flocksafety.com/garden-grove-ca-pd,321,33.7788,-117.9605
gilroy-ca-pd,Gilroy CA PD,Gilroy,CA,True,https://transparency.flocksafety.com/gilroy-ca-pd,350,37.0064,-121.5853
glendale-ca-pd,Glendale CA PD,Glendale,CA,True,https://transparency.flocksafety.com/glendale-ca-pd,326,34.1814,-118.2458
grass-valley-ca-pd,Grass Valley CA PD,Grass Valley,CA,True,https://transparency.flocksafety.com/grass-valley-ca-pd,5,39.2203,-121.0527
greenfield-ca-pd,Greenfield CA PD,Greenfield,CA,True,https://transparency.flocksafety.com/greenfield-ca-pd,359,36.324,-121.2437
grover-beach-ca-pd,Grover Beach CA PD,Grover Beach,CA,True,https://transparency.flocksafety.com/grover-beach-ca-pd,330,35.1209,-120.6197
hanford-ca-pd,Hanford CA PD,Hanford,CA,True,https://transparency.flocksafety.com/hanford-ca-pd,351,36.3277,-119.6546
hayward-ca-pd,Hayward CA PD,Hayward,CA,True,https://transparency.flocksafety.com/hayward-ca-pd,156,37.6268,-122.104
healdsburg-ca-pd,Healdsburg CA PD,Healdsburg,CA,True,https://transparency.flocksafety.com/healdsburg-ca-pd,61,38.6225,-122.8651
hemet-ca-pd-,Hemet CA PD,Hemet,CA,True,https://transparency.flocksafety.com/hemet-ca-pd-,370,33.7341,-116.9968
hercules-ca-pd,Hercules CA PD,Hercules,CA,True,https://transparency.flocksafety.com/hercules-ca-pd,349,38.0214,-122.2889
hillsborough-ca-pd,Hillsborough CA PD,Hillsborough,CA,True,https://transparency.flocksafety.com/hillsborough-ca-pd,311,37.5572,-122.3585
hollister-ca-pd,Hollister CA PD,Hollister,CA,True,https://transparency.flocksafety.com/hollister-ca-pd,329,36.8556,-121.3986
humboldt-county-ca-so,Humboldt County CA SO,Humboldt County,CA,True,https://transparency.flocksafety.com/humboldt-county-ca-so,152,40.7067,-123.9262
indio-ca-pd,Indio CA PD,Indio,CA,True,https://transparency.flocksafety.com/indio-ca-pd,319,33.7316,-116.236
kensington-ca-pd,Kensington CA PD,Kensington,CA,True,https://transparency.flocksafety.com/kensington-ca-pd,48,37.9051,-122.2842
kern-county-ca-so-,Kern County CA SO,Kern County,CA,True,https://transparency.flocksafety.com/kern-county-ca-so-,342,35.3466,-118.7295
kings-county-ca-das-office,Kings County CA PD,Kings County,CA,True,https://transparency.flocksafety.com/kings-county-ca-das-office,269,36.0725,-119.8155
kings-county-sheriffs-office-ca-,Kings County CA SO,Kings County,CA,True,https://transparency.flocksafety.com/kings-county-sheriffs-office-ca-,326,36.0725,-119.8155
kingsburg-ca-pd,Kingsburg CA PD,Kingsburg,CA,True,https://transparency.flocksafety.com/kingsburg-ca-pd,239,36.5252,-119.5666
la-mesa-ca-pd,La Mesa CA PD,La Mesa,CA,True,https://transparency.flocksafety.com/la-mesa-ca-pd,343,32.7695,-117.0219
la-verne-ca-pd,La Verne CA PD,La Verne,CA,True,https://transparency.flocksafety.com/la-verne-ca-pd,331,34.1205,-117.7699
lake-county-ca-so,Lake County CA SO,Lake County,CA,True,https://transparency.flocksafety.com/lake-county-ca-so,334,39.108,-122.7452
lakeshore-homes-association-ca-,Lakeshore Homes Assoc. CA PD,Lakeshore Homes Assoc.,CA,True,https://transparency.flocksafety.com/lakeshore-homes-association-ca-,9,37.8077,-122.2303
lassen-county-so-ca,Lassen County CA SO,Lassen County,CA,True,https://transparency.flocksafety.com/lassen-county-so-ca,176,40.7153,-120.6212
lathrop-ca-pd-,Lathrop CA PD,Lathrop,CA,True,https://transparency.flocksafety.com/lathrop-ca-pd-,320,37.8087,-121.3178
